Name,City,State,Control,Homepage URL
The University of Texas at San Antonio,San Antonio,TX,Public,https://www.utsa.edu/
The University of Texas Health Science Center at Houston,Houston,TX,Public,https://www.uth.edu/
The University of Texas Health Science Center at San Antonio,San Antonio,TX,Public,https://uthscsa.edu/
Tufts University,Medford,MA,Private not-for-profit,https://www.tufts.edu/
Tulane University of Louisiana,New Orleans,LA,Private not-for-profit,https://tulane.edu/
University at Albany,Albany,NY,Public,https://www.albany.edu/
University at Buffalo,Buffalo,NY,Public,https://www.buffalo.edu/
University of Alabama at Birmingham,Birmingham,AL,Public,https://www.uab.edu/home/
University of Arizona,Tucson,AZ,Public,https://www.arizona.edu/
University of Arkansas,Fayetteville,AR,Public,Not Found
"University of California, Berkeley",Berkeley,CA,Public,Not Found
"University of California, Davis",Davis,CA,Public,Not Found
"University of California, Irvine",Irvine,CA,Public,Not Found
"University of California, Los Angeles",Los Angeles,CA,Public,Not Found
"University of California, Merced",Merced,CA,Public,Not Found
"University of California, Riverside",Riverside,CA,Public,Not Found
"University of California, San Diego",La Jolla,CA,Public,Not Found
"University of California, San Francisco",San Francisco,CA,Public,Not Found
"University of California, Santa Barbara",Santa Barbara,CA,Public,Not Found
"University of California, Santa Cruz",Santa Cruz,CA,Public,Not Found
University of Central Florida,Orlando,FL,Public,Not Found
University of Chicago,Chicago,IL,Private not-for-profit,Not Found
University of Cincinnati,Cincinnati,OH,Public,Not Found
University of Colorado Boulder,Boulder,CO,Public,Not Found
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,Public,Not Found
University of Connecticut,Storrs,CT,Public,Not Found
University of Dayton,Dayton,OH,Private not-for-profit,Not Found
University of Delaware,Newark,DE,Public,Not Found
University of Denver,Denver,CO,Private not-for-profit,Not Found
University of Florida,Gainesville,FL,Public,Not Found
University of Georgia,Athens,GA,Public,Not Found
University of Hawaii at Manoa,Honolulu,HI,Public,Not Found
University of Houston,Houston,TX,Public,Not Found
University of Idaho,Moscow,ID,Public,Not Found
University of Illinois Chicago,Chicago,IL,Public,Not Found
University of Illinois Urbana-Champaign,Champaign,IL,Public,Not Found
University of Iowa,Iowa City,IA,Public,Not Found
University of Kansas,Lawrence,KS,Public,Not Found
University of Kentucky,Lexington,KY,Public,Not Found
University of Louisiana at Lafayette,Lafayette,LA,Public,Not Found
University of Louisville,Louisville,KY,Public,Not Found
University of Maine,Orono,ME,Public,Not Found
University of Maryland-Baltimore County,Baltimore,MD,Public,Not Found
University of Maryland-College Park,College Park,MD,Public,Not Found
"University of Maryland, Baltimore",Baltimore,MD,Public,Not Found
University of Massachusetts-Amherst,Amherst,MA,Public,Not Found
